65

Culture: pt-BR 
Date: 15/05/2023 14:21:47.64988

ENLIGHT Version: 1.13.0.0

Data Save Interval: 1
Timestamp Format: Full

Name: 
Description: 
Module Type: Hyperion
HW Acquisition Rate: 1000 Hz
Wavelength Tracking: 400 pm / acquistion
Data Interleave: 1

IP Address: 10.0.0.55
      Port: 51971

IDN: Hyperion
Image ID: 14.1.0
S/N: HIAGBY

CH 1 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 136
CH 2 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 201
CH 3 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 196
CH 4 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 5 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 197
CH 6 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 7 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 8 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
Timestamp	# CH 1	# CH 2	# CH 3	# CH 4	# CH 5	# CH 6	# CH 7	# CH 8
15/05/2023 14:21:47.65088	0	0	0	0	0	1	0	0	1553,37981
15/05/2023 14:21:47.65188	0	0	0	0	0	1	0	0	1553,38196
15/05/2023 14:21:47.65288	0	0	0	0	0	1	0	0	1553,38137
15/05/2023 14:21:47.65388	0	0	0	0	0	1	0	0	1553,38176
15/05/2023 14:21:47.65488	0	0	0	0	0	1	0	0	1553,38039
15/05/2023 14:21:47.65588	0	0	0	0	0	1	0	0	1553,38157
15/05/2023 14:21:47.65688	0	0	0	0	0	1	0	0	1553,38431
15/05/2023 14:21:47.65788	0	0	0	0	0	1	0	0	1553,38078
15/05/2023 14:21:47.65888	0	0	0	0	0	1	0	0	1553,37824
15/05/2023 14:21:47.65988	0	0	0	0	0	1	0	0	1553,38137
15/05/2023 14:21:47.66088	0	0	0	0	0	1	0	0	1553,38196
15/05/2023 14:21:47.66188	0	0	0	0	0	1	0	0	1553,38020
15/05/2023 14:21:47.66288	0	0	0	0	0	1	0	0	1553,38039
15/05/2023 14:21:47.66388	0	0	0	0	0	1	0	0	1553,38529
15/05/2023 14:21:47.66488	0	0	0	0	0	1	0	0	1553,37687
15/05/2023 14:21:47.66588	0	0	0	0	0	1	0	0	1553,37824
15/05/2023 14:21:47.66688	0	0	0	0	0	1	0	0	1553,37667
15/05/2023 14:21:47.66788	0	0	0	0	0	1	0	0	1553,38255
15/05/2023 14:21:47.66888	0	0	0	0	0	1	0	0	1553,38078
